GeneID	206014020-W-Milk	206014056-W-Milk	208013840-W-Milk	208024121-W-Milk	810049338-W-Milk	810049344-W-Milk	811035548-W-Milk	811035585-W-Milk	811035588-W-Milk	812007775-W-Milk	812027644-W-Milk	812027654-W-Milk	207016597-W2-Milk	208000940-W2-Milk	208000943-W2-Milk	208000985-W2-Milk	208001021-W2-Milk	209021318-W2-Milk	209021321-W2-Milk	210004788-W2-Milk	210004789-W2-Milk	210004794-W2-Milk	210004803-W2-Milk	210004816-W2-Milk	b1	b2	b3	207016597-W2-Blood	208000916-W2-Blood	208000940-W2-Blood	208000943-W2-Blood	208000985-W2-Blood	208001021-W2-Blood	209021318-W2-Blood	209021321-W2-Blood	210004788-W2-Blood
ENSBTAG00000022590	7	65	20	31	14	14	8	11	3	18	13	3	13	44	22	25	35	1	15	30	8	16	26	12	3343	2432	3622	96	31	33	16	17	45	23	15	12
ENSBTAG00000022598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	30	97	0	0	0	0	0	1	1	1	1
ENSBTAG00000022603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
ENSBTAG00000022613	18	7	4	21	4	11	7	1	4	6	25	17	82	5	13	5	9	2	1	44	1	6	1	1	305	383	316	3	1	0	3	0	5	6	6	2
ENSBTAG00000022622	2	3	0	4	0	0	5	0	0	1	0	0	1	8	2	0	3	1	2	5	3	3	4	3	207	72	188	8	4	1	1	0	1	4	1	1
ENSBTAG00000022632	5	2	0	0	1	5	0	0	0	1	0	0	0	3	4	0	1	0	0	1	7	0	0	0	114	36	105	1	2	0	0	0	0	4	3	0
ENSBTAG00000022635	1	1	1	0	0	0	3	4	0	5	0	0	0	2	2	0	4	0	1	9	1	1	0	3	0	1	2	0	0	0	0	0	0	0	0	0
ENSBTAG00000022640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022656	1	0	0	1	0	1	0	0	0	1	5	0	0	2	0	0	0	0	0	5	0	0	0	0	46	35	50	2	0	0	0	0	1	1	2	0
ENSBTAG00000022663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ENSBTAG00000022681	3	3	2	4	0	4	6	0	2	0	0	3	5	4	0	3	0	3	3	5	2	3	1	2	991	1090	1048	5	4	5	3	0	2	7	2	5
ENSBTAG00000022684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022689	2	5	4	7	1	0	5	2	0	6	2	3	2	2	7	2	3	2	1	10	1	2	5	7	120	85	156	2	7	0	1	0	2	1	4	1
ENSBTAG00000022690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022715	23	4	2	6	3	0	0	0	0	2	9	4	0	0	5	6	2	8	2	18	3	2	6	6	247	162	560	0	1	0	0	0	0	1	0	0
ENSBTAG00000022721	0	0	0	1	0	0	0	0	0	1	3	0	1	4	3	0	0	0	0	0	0	2	1	1	189	118	187	1	0	0	0	0	0	5	0	0
ENSBTAG00000022731	13	18	9	37	6	26	1	4	4	13	33	7	10	15	7	13	18	12	3	22	8	11	7	1	1366	1290	1557	6	6	3	2	0	2	8	3	2
ENSBTAG00000022733	0	1	0	3	1	7	0	2	0	0	2	1	0	0	3	4	0	6	1	2	0	3	0	5	76	88	97	1	0	1	0	0	0	0	1	0
ENSBTAG00000022736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022741	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ENSBTAG00000022759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
